orderCode;serviceCode;subService;serviceId
1000015102;FI;;125867
1000015101;FI;;125862
1000015100;HO;;CM_VNLINK6268
1000015099;TL;;14733
1000015098;TL;;14732
1000015097;TL;;14731
1000015096;TL;;14730
1000015095;TL;;14729
1000015094;FI;;125840
1000015094;FI;;125851
1000015093;TL;;14728
1000015092;FI;;125829
1000015092;FI;;125818
1000015091;FI;;125813
1000015090;TL;;14727
1000015089;FI;;125808
1000015088;FI;;125786
1000015088;FI;;125797
1000015087;TL;;14726
1000015086;FI;;125775
1000015086;FI;;125764
1000015085;TL;;14725
1000015084;FI;;125759
1000015083;FI;;125737
1000015083;FI;;125748
1000015082;FI;;125732
1000015081;FI;;125723
1000015081;FI;;125712
1000015080;FI;;125703
1000015080;FI;;125692
1000015079;FI;;125685
1000015078;FI;;125680
1000015077;FI;;125668
1000015076;TL;;14724
1000015075;FI;;125674
1000015074;FI;;125668
1000015073;FI;;125663
1000015072;FI;;125651
1000015072;FI;;125657
1000015071;TL;;14723
1000015070;HO;;CM_VNLINK6267
1000015069;FI;;125645
1000015068;TL;;14722
1000015067;TL;;14721
1000015066;TL;;14720
1000015065;TL;;14719
1000015064;TL;;14718
1000015063;TL;;14717
1000015062;TL;;14716
1000015061;TL;;14715
1000015060;TL;;14714
1000015059;TL;;14713
1000015058;TL;;14712
1000015057;TL;;14711
1000015056;TL;;14710
1000015055;TL;;14709
1000015054;TL;;14708
1000015053;FI;;125640
1000015052;TL;;14707
1000015051;TL;;14706
1000015050;TL;;14705
1000015049;TL;;14704
1000015048;TL;;14703
1000015047;TL;;14702
1000015046;TL;;14701
1000015045;TL;;14700
1000015044;TL;;14699
1000015043;TL;;14698
1000015042;TL;;14697
1000015041;TL;;14696
1000015040;TL;;14695
1000015039;TL;;14694
1000015038;TL;;14693
1000015037;TL;;14692
1000015036;TL;;14691
1000015035;TL;;14690
1000015034;TL;;14689
1000015033;TL;;14688
1000015032;HO;;CM_VNLINK6266
1000015031;HO;;CM_VNLINK6265
1000015030;CO;;57
1000015029;CO;;56
1000015028;CO;;55
1000015027;CO;;54
1000015026;TL;;14687
1000015025;CO;;53
1000015024;CO;;52
1000015023;CO;;51
1000015022;CO;;49
1000015021;TK;;5001206
1000015020;GO;;6253
1000015019;HO;;CM_VNLINK6264
1000015018;TK;;5001205
1000015017;GO;;6252
1000015016;TL;;14686
1000015015;TL;;14685
1000015014;TL;;14684
1000015013;TL;;14683
1000015012;TL;;14682
1000015011;HO;;CM_VNLINK6263
1000015010;FI;;125635
1000015010;FI;;125630
1000015009;GA;;3262
1000015008;TK;;5001204
1000015007;GO;;6251
1000015006;GA;;3261
1000015005;TL;;14681
1000014987;FI;;125603
1000014987;FI;;125595
1000014986;FI;;125586
1000014986;FI;;125575
1000014985;FI;;125568
1000014984;FI;;125558
1000014983;GA;;3247
1000014982;FI;;125553
1000014981;TK;;5001187
1000014980;GO;;6241
1000014979;GO;;6240
1000014978;GO;;6239
1000014977;GO;;6238
1000014976;BU;;3753
1000014975;BU;;3752
1000014974;HO;;CM_VNLINK6244
1000014973;HO;;CM_VNLINK6243
1000014972;TK;;5001186
1000014971;TL;;14679
1000014970;TL;;14678
1000014969;BU;;3751
1000014968;GO;;6237
1000014967;GO;;6236
1000014966;GO;;6235
1000014965;GA;;3246
1000014964;CO;;6201
1000014963;TL;;14677
1000014962;GO;;6234
1000014961;GO;;6233
1000014960;TL;;14676
1000014959;GA;;3245
1000014958;TK;;5001185
1000014957;FI;;125532
1000014957;FI;;125542
1000014956;FI;;125527
1000014955;FI;;125501
1000014955;FI;;125514
1000014954;TK;;5001184
1000014953;GA;;3244
1000014952;GO;;6232
1000014951;GO;;6231
1000014950;FI;;125496
1000014949;BU;;3750
1000014948;FI;;125471
1000014948;FI;;125484
1000014947;BU;;3749
1000014946;HO;;CM_VNLINK6224
1000014946;HO;;CM_VNLINK6225
1000014945;FI;;125466
1000014926;TL;;14675
1000014925;FI;;125461
1000014924;TL;;14674
1000014923;FI;;125455
1000014922;HO;;CM_VNLINK6223
1000014921;FI;;125449
1000014920;FI;;125443
1000014920;FI;;125437
1000014919;FI;;125427
1000014918;FI;;125421
1000014917;FI;;125432
1000014916;BU;;3748
1000014915;FI;;125427
1000014914;FI;;125421
1000014913;FI;;125415
1000014912;FI;;125410
1000014911;TL;;14673
1000014910;GA;;3243
1000014909;TL;;14672
1000014908;TL;;14671
1000014907;GA;;3242
1000014906;GA;;3241
1000014905;TL;;14668
1000014890;TL;;14666
1000014889;TL;;14665
1000014888;TL;;14664
1000014887;TL;;14663
1000014886;TL;;14662
1000014885;TL;;14661
1000014876;TK;;5001183
1000014875;GA;;3240
1000014874;GO;;6215
1000014873;TK;;5001182
1000014872;GA;;3239
1000014871;GO;;6214
1000014870;GO;;6213
1000014869;GO;;6212
1000014868;TK;;5001181
1000014867;GA;;3238
1000014866;GA;;3237
1000014865;TL;;14656
1000014864;GA;;3236
1000014863;GO;;6211
1000014863;GO;;6210
1000014862;FI;;125400
1000014861;TK;;5001180
