orderCode;ID;serviceCode;subService;serviceId;code
1000015403;368468;TL;;14854;14854
1000015402;368462;TL;;14853;14853
1000015401;368452;TL;;14852;14852
1000015400;368442;GA;;3322;
1000015399;368432;GA;;3321;
1000015398;368426;TL;;14851;14851
1000015397;368415;TK;;5001271;
1000015396;368408;TL;;14850;14850
1000015395;368402;TL;;14849;14849
1000015394;368396;XE;;1111;a68ec6369b9a1e9881a633437d262ca4
1000015393;368387;XE;;1110;69e13d89b51f871f6a6c02a60e9823f0
1000015392;368381;TL;;14848;14848
1000015391;368375;TL;;14847;14847
1000015390;368367;TL;;14846;14846
1000015389;368361;TL;;14845;14845
1000015388;368355;XE;;1109;5b93d1e5aa64a7f4e8499c8d6f436e54
1000015387;368349;TL;;14844;14844
1000015386;368343;TL;;14843;14843
1000015385;368337;XE;;1108;60dfb4ccab1b77fd0fdd73f19aa8d7b2
1000015384;368331;XE;;1107;496ace8e378ad5d0b1eb05e831d4a46b
1000015383;368325;XE;;1106;d895fccffa70be8dca67e3c253c4ccd0
1000015382;368319;XE;;1105;53cf408f7bc04fd0061ac9cc77c8102f
1000015381;368306;FI;;126300;TE_264D0
1000015380;368296;XE;;1104;0f8eee5f578ea34bdfc6ee6a2121f042
1000015379;368286;TL;;14842;14842
1000015378;368276;FI;;126287;TE_D6200
1000015377;368261;FI;;126274;TE_92BC0
1000015376;368250;XE;;1103;dfbe67db5a6a1ebd612851013b2ce394
1000015375;368244;XE;;1102;6e12031780d1da6062a5c557713644b4
1000015374;368238;XE;;1101;4f2c4cb27398d7af59f95a269dd7ba76
1000015373;368228;TL;;14841;14841
1000015372;368222;TL;;14840;14840
1000015371;368216;TL;;14839;14839
1000015370;368210;TL;;14838;14838
1000015369;368204;TL;;14837;14837
1000015368;368194;TL;;14836;14836
1000015367;368188;GO;;6318;4337
1000015366;368181;GA;;3301;
1000015365;368175;HO;;CM_VNLINK6312;
1000015364;368168;GO;;6317;4336
1000015363;368160;GO;;6316;4335
1000015363;368157;GO;;6315;4335
1000015362;368150;GO;;6314;4334
1000015361;368143;GO;;6313;4333
1000015360;368136;TK;;5001270;
1000015359;368118;FI;;126252;TE_B26F0
1000015358;368093;FI;;126234;TE_176F0
1000015357;368080;TK;;5001269;
1000015356;368074;BU;;3812;P1YHC7
1000015355;368067;BU;;3811;MRA41V
1000015354;368060;TK;;5001268;
1000015353;368050;TK;;5001267;
1000015352;368044;TK;;5001266;
1000015351;368038;TK;;5001265;
1000015350;368031;TK;;5001264;
1000015349;368024;BU;;3810;ONCJ4U
1000015348;368017;HO;;CM_VNLINK6311;
1000015347;368010;HO;;CM_VNLINK6310;
1000015346;368003;HO;;CM_VNLINK6309;
1000015345;367996;HO;;CM_VNLINK6308;
1000015344;367986;FI;;126229;TE_249F0
1000015343;367975;FI;;126224;TE_2AAE0
1000015342;367965;FI;;126215;TE_816D0
1000015341;367956;TL;;14835;14835
1000015340;367946;HO;;CM_VNLINK6306;
1000015340;367949;HO;;CM_VNLINK6307;
1000015339;367938;HO;;CM_VNLINK6305;
1000015339;367935;HO;;CM_VNLINK6304;
1000015338;367928;FI;;126210;TE_EFED0
1000015337;367921;TL;;14834;14834
